"Country","Country Code","Social Progress Index","Basic Human Needs","Foundations of Wellbeing","Opportunity","Nutrition and Basic Medical Care","Water and Sanitation","Shelter","Personal Safety","Access to Basic Knowledge","Access to Information and Communications","Health and Wellness","Environmental Quality","Personal Rights","Personal Freedom and Choice","Tolerance and Inclusion","Access to Advanced Education","Undernourishment","Depth of food deficit","Maternal mortality rate","Child mortality rate","Deaths from infectious diseases","Access to piped water","Rural access to improved water source","Access to improved sanitation facilities","Availability of affordable housing","Access to electricity","Quality of electricity supply","Household air pollution attributable deaths","Homicide rate","Level of violent crime","Perceived criminality","Political terror","Traffic deaths","Adult literacy rate","Primary school enrollment","Lower secondary school enrollment","Upper secondary school enrollment","Gender parity in secondary enrollment","Mobile telephone subscriptions","Internet users","Press Freedom Index","Life expectancy at 60","Premature deaths from non-communicable diseases","Obesity rate","Suicide rate","Outdoor air pollution attributable deaths","Wastewater treatment","Biodiversity and habitat","Greenhouse gas emissions","Political rights","Freedom of speech","Freedom of assembly/association","Freedom of movement","Private property rights","Freedom over life choices","Freedom of religion","Early marriage","Satisfied demand for contraception","Corruption","Tolerance for immigrants","Tolerance for homosexuals","Discrimination and violence against minorities","Religious tolerance","Community safety net","Years of tertiary schooling","Women's average years in school","Inequality in the attainment of education","Globally ranked universities","Percentage of tertiary students enrolled in globally ranked universities","Depth of food deficit - capped","Adult literacy rate - capped","Lower secondary school enrollment - capped","Upper secondary school enrollment - capped","Gender parity in secondary enrollment - difference from parity","Mobile telephone subscriptions - capped","Greenhouse gas emissions - capped","Globally ranked universities - bucketed","Percentage of tertiary students enrolled in globally ranked universities - bucketed"
"Belgium","BEL",86.19,94.34,85.46,78.79,99.18,99.83,89.76,88.57,95.41,91.55,67.28,87.58,85.43,85.21,74.16,70.36,5,8,6.97113752887869,4.1,27.76978,100,100,99.4847994,0.653103235512119,100,6.17368405290352,0,1.76431781715431,2,2,1,6.7,,98.87512,180.53467,154.74064,1.13634,114.269957521343,85,11.98,23.5911,12.24323,0.209,16.10238096,26.353294125,89.77596,100,277.780338634245,1,1,2,4,80,0.867633561442132,3,0.01,86.5,77,0.734654082178415,0.820406554448457,4.1,3,0.884002446285223,1.16670107841492,14.51,0.08118,7,0.349077152355841,8,,100.0,100.0,0.136,100.0,277.8,5,4
"Spain","ESP",85.88,92.74,88.25,76.67,99.31,99.95,86.51,85.20,99.48,86.23,76.16,91.12,83.15,74.44,76.09,72.98,5,8,4.99119381173132,4.1,19.11593,100,100,99.8510521,0.473213992301922,100,6.21423944830894,0,0.626056765256661,2,3,1,3.7,98.09797,99.46489,132.46856,129.70698,1.00404,107.849270058927,76.19,19.95,25.3443,10.80751,0.207,6.101069742,14.599249513,94.5219166666667,96.73,226.940921766414,1,1,2,4,70,0.729994769567199,3,0.01,80.2,58,0.837635814083855,0.87379551539318,5.8,3,0.955053483382265,0.96324497461319,13.5,0.0523147,25,0.408703507085614,8,98.1,100.0,100.0,0.004,100.0,226.9,8,4
"France","FRA",84.79,92.57,87.03,74.78,99.22,99.56,86.93,84.55,99.34,87.69,71.50,89.58,80.60,82.56,62.40,73.57,5,8,8.46516460158736,4.3,21.35432,100,100,98.6520037,0.427135073289436,100,6.51279105638203,0,1.20289630746722,2,3,1,5.1,,98.72809,108.27343,114.5843,1.007,101.212415676367,83.75,21.15,25.34971,11.37561,0.195,14.98481503,16.048297634,79.56355,99.52,186.891591618466,1,1,2,3,80,0.816449043746921,3,0.01,89.8,70,0.737008402786301,0.728004353196563,6.8,2,0.893556513623218,0.881754338741302,14.04,0.0796173,48,0.417187630312193,8,,100.0,100.0,0.007,100.0,186.9,9,4
"United States","USA",84.62,92.81,80.30,80.75,98.81,98.78,90.35,83.31,95.82,87.35,62.30,75.73,82.03,83.12,71.02,86.82,5,8,13.7493058196159,6.5,31.3432,98.6384409,98.1646803,99.9888939,0.621933715126341,100,6.44442340419543,0,3.82463065425032,1,2,3,10.6,,92.77709,101.43578,90.66866,1.00905,110.20419345959,87.36,24.41,23.08794,14.25484,0.328,11.8457455,17.159862561,50.4365,79.35,392.699985350345,1,2,1,3,80,0.84736913275098,3,0.03,84.7,76,0.743017222005936,0.735346457267154,5,3,0.900770702295177,1.85933494567871,15.06,0.053,197,0.181079868198911,8,,100.0,90.7,0.009,100.0,392.7,10,3
"Slovenia","SVN",84.27,93.75,83.13,75.92,99.45,99.15,83.53,92.89,98.74,84.83,65.82,83.13,90.90,80.26,67.83,64.68,5,8,8.5984148464806,2.6,15.44185,98.966276,99.39713,99.1072515,0.3442439235697,100,6.09591150752834,0,0.581284171582688,1,2,1,6.4,99.71596,97.38535,98.67624,119.68084,0.99749,112.083010533862,71.59,20.55,23.45852,12.63961,0.212,17.71548906,20.950491997,59.77818,100,311.147704491974,1,2,2,4,60,0.884924079650543,4,0.01,77.7,60,0.604573512970026,0.455741279287715,3.9,4,0.888981320810662,0.785113096237183,14.19,0.0264355,2,0.592133543487606,8,99,98.7,100.0,0.003,100.0,311.1,2,5
"Portugal","PRT",83.88,93.14,84.17,74.34,99.05,99.89,85.04,88.58,98.32,84.38,70.48,83.52,83.15,78.01,75.80,60.39,5,8,10.1459853876525,3.6,39.89616,100,100,99.6690391,0.421866950174088,100,6.10247798399492,0,1.34424055779507,1,2,2,7.8,95.67814,98.79869,120.47531,119.00939,0.9845,112.113913041511,64.59,17.11,24.19125,11.89582,0.223,11.02033064,14.748884116,54.120926,95.78,248.784768126643,1,1,2,4,70,0.787228681585523,4,0.05,84.2,63,0.791607696452734,0.515748181405708,2.6,4,0.85076606316165,0.394004970788956,11.54,0.0590099,8,0.453156334231806,8,95.7,100.0,100.0,0.016,100.0,248.8,5,5
"Czech Republic","CZE",82.80,96.17,82.57,69.66,99.29,99.71,90.00,95.68,97.92,90.35,63.90,78.11,75.70,77.48,57.42,68.03,5,8,4.41507630761487,3.4,27.0444,100,100,99.1146843,0.614561285708831,100,6.39604035920875,0,0.92791261246109,1.5,1,1,6.1,99,,104.20186,104.52917,1.00721,129.539048019137,79.71,11.62,21.58188,16.95646,0.194,12.43050705,36.796109713,63.007634,100,426.989121485033,1,1,1,4,75,0.785882754315711,4,0,81.8,56,0.307699637535844,0.459255377687221,3.8,3,0.903113352598279,0.538243234157562,14.47,0.0139045,9,0.454500153237523,8,99,100.0,100.0,0.007,100.0,427.0,5,5
"Estonia","EST",82.62,92.03,82.63,73.19,99.38,97.75,87.89,83.09,98.79,91.67,59.94,80.14,97.73,77.75,48.33,68.96,5,8,9.32104760735737,2.9,18.54413,96.8371234,98.9569122,97.2323658,0.69573407997301,100,5.5604321695317,0,4.0804041061021,2,3,1,7,99.82517,97.25776,109.96161,107.44902,0.99169,160.687848533734,84.24,11.19,21.74617,18.8167,0.228,15.0230231,20.759515659,71.860259,100,625.426337211077,1,2,2,4,90,0.777360362364695,4,0.05,76.7,70,0.231816282039026,0.265744864786691,6.5,4,0.901986261830376,1.10236203670502,14.47,0.0242599,2,0.468814615930624,8,99,100.0,100.0,0.008,100.0,625.4,2,5
"Italy","ITA",82.49,89.19,86.11,72.18,99.42,99.84,85.38,72.10,98.38,79.52,78.19,88.33,88.63,63.52,63.34,73.23,5,8,3.68859649089286,3.5,15.49483,99.9464445,100,99.5462677,0.482015463771538,100,5.91924351788639,0,0.814036386064324,3,4,2,6.1,99.15498,97.64187,108.8268,98.59825,0.98084,154.248656431979,61.96,27.94,25.20817,9.83219,0.182,5.289937672,19.427493814,81.169,98.96,223.282657661116,1,2,2,4,50,0.571884216108512,4,0,64.4,44,0.657879787554202,0.612819267227539,4.9,2,0.906774411540582,0.450288414955139,14.28,0.1055974,37,0.71298605804582,8,99,100.0,98.6,0.019,100.0,223.3,9,6
"Chile","CHL",82.12,88.20,82.60,75.56,98.07,96.31,80.55,77.87,96.34,84.08,67.84,82.16,96.59,77.06,71.88,56.71,5,20,22.1079876347729,8.1,36.27848,98.9968903,93.2750255,99.0508011,0.354920296346935,99.6,5.53382700419595,5.288397384,3.14141354338908,2,3,2,12.4,97.29664,92.48127,103.45108,99.01522,1.01603,133.255628761386,72.35,23,23.86901,11.85583,0.263,11.91262269,18.366157569,84.4975833333333,75.15,273.998322434279,1,2,2,4,85,0.754468522382383,4,0.06,78.4,70,0.729058966120874,0.638383859698312,4.1,4,0.824603596619671,0.539865016937256,13.29,0.12595,11,0.174265828855096,20,97.3,100.0,99.0,0.016,100.0,274.0,5,3
"Korea, Republic of","KOR",80.92,92.21,82.01,68.55,99.13,92.49,86.36,90.87,96.60,85.75,71.34,74.35,66.28,71.09,60.82,75.99,5,4,11.0110550033935,3.4,33.80374,92.9290872,87.9498446,100,0.573038544897655,100,5.74483325481415,0,0.841361889902264,1,2,1,12,,96.31119,102.29953,93.73614,0.98875,115.709981247788,84.33,26.55,24.39494,9.34175,0.064,26.0874796,32.680868263,82.4244642,69.34,434.633687104084,2,1,1,3,70,0.581320311139097,4,0,81.8,56,0.575350905553103,0.307769140239043,3.4,4,0.758017188285237,1.94365084171295,14.62,0.25538,29,0.157955505609371,8,,100.0,93.7,0.011,100.0,434.6,8,3
"Cyprus","CYP",80.75,91.50,82.12,68.63,99.45,100,81.99,84.56,98.67,84.50,75.70,69.63,93.18,68.00,48.30,65.02,5,8,6.92962026906786,2.7,16.19033,100,100,100,0.415504899665328,100,5.43457492192586,0,1.03677567415121,2,3,1,5.2,99.06569,96.91133,100.53451,98.42756,1.00077,96.3353101058229,69.33,16.52,24.3273,9.49923,0.241,3.339774589,22.859645298,14.9,78.23,291.931953402308,1,2,2,4,70,0.609534058842227,3,0.02,,61,0.559464191731153,0.320141602119409,7,3,0.765525259972911,1.31563031673431,14.64,0.1314751,1,0.204311932054404,8,99,100.0,98.4,0.001,96.3,291.9,2,4
"Uruguay","URY",80.12,87.51,74.36,78.50,97.71,95.82,82.49,74.01,91.13,84.03,61.26,61.03,93.18,82.68,82.32,55.81,5,24,14.8092554025693,10.1,46.23618,99.3522443,93.8623378,96.4357695,0.373260882335534,99.5,5.81323267992805,2.013584955,7.7111945606161,2,4,1,16.6,98.42512,99.53833,110.4621,70.55071,1.13702,160.79514574864,61.46,15.94,21.99621,17.11193,0.245,14.03490791,5.170187454,2.15,54.32,558.299894500452,1,2,2,4,70,0.894605890566958,4,0.11,87.3,74,0.808970126360556,0.816283427231564,3,4,0.884238364065936,0.275446802377701,12.08,0.09209,2,0.841783323935375,24,98.4,100.0,70.6,0.137,100.0,558.3,2,6
"Costa Rica","CRI",80.12,87.43,81.45,71.48,97.42,93.77,82.64,75.88,96.67,82.39,71.63,75.12,88.63,76.37,68.70,52.21,5,35,25.1495833691231,9.7,30.50013,97.4868529,91.8858679,94.5223953,0.451693191969219,99.5,5.60039847296786,5.566938198,8.38567116163124,2,3,2,13.9,97.75527,96.13191,133.30969,101.95306,1.05479,143.828359244231,49.41,12.26,23.49632,12.24601,0.22,6.917995977,11.308573126,3.8912,90.52,198.915962104197,1,2,2,4,50,0.8960347804268,3,0.13,89.1,55,0.706386008632972,0.502948696492995,4.7,4,0.869740540289929,0.767187714576721,10.92,0.1551065,3,0.231998929647383,35,97.8,100.0,100.0,0.055,100.0,198.9,2,4
"Poland","POL",79.76,90.97,80.15,68.16,99.18,97.16,79.94,87.59,97.85,86.59,59.29,76.88,82.02,71.49,52.20,66.95,5,8,3.10573880088193,5.2,22.57865,98.2181037,96.8797086,97.210427,0.29389734345993,100,5.49516200835002,0,0.781863333308981,2,2,1,10.3,99.79141,96.94361,100.21169,116.05313,0.96486,148.88670210677,66.6,12.71,21.43814,19.95129,0.198,16.40100595,37.679450606,57.17602,99.76,424.541366686087,1,1,2,4,65,0.728856089466219,4,0.02,60.7,62,0.36432985088295,0.26823204588506,4.4,3,0.862786091088377,0.769246757030487,14.78,0.0559326,10,0.256007984367626,8,99,100.0,100.0,0.035,100.0,424.5,5,4
"Slovakia","SVK",78.96,93.40,80.85,62.61,98.79,99.01,87.11,88.69,95.13,90.40,61.02,76.86,78.61,64.13,50.22,57.50,5,8,5.63701648028598,7.3,35.34984,97.786287,100,98.8240692,0.513479515519836,100,6.17670095992994,0,1.43454216215719,2,2,1,6.6,99.6192,,96.96792,86.46209,1.01501,116.940134070288,79.98,11.66,20.66123,19.40348,0.197,12.02804116,45.415891203,54.693412,100,292.621788644496,1,1,2,4,50,0.508155406460293,3,0.01,73.7,51,0.333929414467563,0.291461950573468,5.9,3,0.923423066264135,0.63007003068924,13.98,0.0153767,2,0.115918928334518,8,99,97.0,86.5,0.015,100.0,292.6,2,3
"Greece","GRC",78.27,90.62,83.18,60.99,99.22,99.67,82.43,81.17,97.47,78.66,75.36,81.23,64.29,58.39,53.62,67.67,5,8,3.20355460892858,4.6,24.11475,100,100,98.9755554,0.495035164132407,100,5.18769188150328,0,1.37368999131382,2.5,3,1,9.1,97.68686,97.17147,103.61142,112.54713,0.95987,110.264463799122,63.21,31.01,24.2984,12.88024,0.194,3.322668355,33.15577926,77.6235665,94.82,359.691040849013,2,1,1,4,40,0.517758252419452,3,0.04,58.6,46,0.566386683432119,0.381928625607197,5,2,0.83391836206767,1.27886641025543,13.88,0.1162377,7,0.394311101133957,8,97.7,100.0,100.0,0.040,100.0,359.7,4,4
"Croatia","HRV",77.68,91.54,79.51,62.00,99.32,98.76,84.91,83.16,94.61,81.91,62.42,79.12,75.20,65.20,48.53,59.09,5,8,8.47980866190706,4.3,12.18961,99.6371177,99.6633292,96.9766935,0.529032743645111,100,5.60577892079765,0,1.07105978758183,2,3,1,9.2,99.27412,88.98913,101.81455,97.66267,1.03919,104.431321400248,68.57,26.12,21.67408,17.72929,0.199,14.00073045,32.673887488,50.22907,98.96,272.504932602663,1,1,2,4,35,0.660630891059767,4,0.02,55.3,51,0.463827339131523,0.352867719308694,5.7,3,0.730995458203217,0.71733283996582,12.57,0.0433104,1,0.460871389607665,8,99,100.0,97.7,0.039,100.0,272.5,1,5
"Lithuania","LTU",76.94,88.09,77.07,65.65,99.06,91.19,81.01,81.09,98.03,85.64,48.71,75.91,73.43,69.36,54.05,65.76,5,8,9.90906094428812,5.2,25.50468,93.1193687,90.3822719,92.3959201,0.3364445778019,100,5.55512820012642,0,6.76241660726318,2,3,1,10.6,99.81988,97.99392,103.66719,109.51261,0.95884,147.043250860041,72.13,18.8,20.2098,22.38482,0.218,28.13998636,41.11061109,46.820228,98.55,305.905654896925,1,1,1,4,65,0.579225810970044,4,0,69.3,61,0.378882938075072,0.166566277548283,4.3,4,0.853893614788385,1.05414044857025,14.17,0.0585483,4,0.28395378690629,8,99,100.0,100.0,0.041,100.0,305.9,3,4
"Hungary","HUN",76.88,90.84,77.29,62.52,99.00,98.89,85.82,79.63,96.74,83.32,51.70,77.39,65.43,66.38,53.47,64.78,5,8,16.5837134534131,5.9,16.83285,98.3435835,100,97.9895365,0.548602723305132,100,5.72797898952275,0,2.66571853535953,2,3,2,7.7,99.05043,90.85139,101.44347,114.12653,1.0023,118.053828318504,76.13,27.44,20.02804,24.01077,0.234,18.7562663,41.962872504,51.0991787744159,100,271.241300783615,2,1,1,4,45,0.512387398530572,3,0.01,82.6,51,0.435079422288533,0.350602238451138,4.7,3,0.822304917823553,0.768818616867065,13.91,0.0318778,7,0.403645833333333,8,99,100.0,100.0,0.002,100.0,271.2,4,4
"Latvia","LVA",76.19,89.37,80.61,58.58,98.67,93.18,83.43,82.22,98.23,86.85,52.27,85.10,66.57,68.75,41.64,57.38,5,8,18.2874563216813,7.9,26.00504,92.4930133,98.3004291,87.7892703,0.462082859116415,100,5.55838525959208,0,3.45432195341935,2,3,1,10,99.89138,97.82903,111.29013,109.86454,0.96724,116.799135372844,75.83,18.12,19.69281,24.14147,0.221,17.73916062,37.402483354,94.23,97.81,284.225704977847,2,1,1,4,50,0.610308235142244,3,0.01,75.3,55,0.196072982289243,0.196055421521758,7.4,4,0.841694297392255,0.777290463447571,14.44,0.034944,1,0.136206787052522,8,99,100.0,100.0,0.033,100.0,284.2,1,3
